date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511610303003,5
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,517500102005,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210210003,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,510450501002,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210208002,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210212003,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210209001,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210215004,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210202011,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,511210213001,4
2020-02-03,sg:628a9eea5f0b4c9baeba66a94d435c61,510719302001,4
2020-02-03,sg:bc143418516c4ee8af0ea3476259fd0f,
2020-02-03,sg:d737927cfcb44f55bc76d81a62103970,511076110201,4
2020-02-03,sg:d737927cfcb44f55bc76d81a62103970,510594526002,4
2020-02-03,sg:d737927cfcb44f55bc76d81a62103970,511076102012,4
2020-02-03,sg:3b3206833dae49e3b6f78cca3e6ecf56,511210212002,4
2020-02-03,sg:6cc5e8cb83a84370b6dee7a5b1864226,511210207001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076104002,6
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076105052,5
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076118063,5
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110171,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594915022,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110192,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110092,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511539014091,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594915021,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106014,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076101012,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594217022,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076104001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076112041,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110221,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110043,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110202,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110093,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,110010053012,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510690501004,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076119001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511710403001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594808012,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110121,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510690501003,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510430101003,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110232,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076118041,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076103001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076105033,4
