"","GEOID","change_jul_2020"
"1",511210201001,1.35423197492163
"2",511210201002,1.61256544502618
"3",511210202011,0.775617446137677
"4",511210202012,0.506329113924051
"5",511210202013,1.11546840958606
"6",511210202014,0
"7",511210202015,0.787939698492462
"8",511210202021,0.904317091643524
"9",511210203001,0.963087248322148
"10",511210203002,0.849805837404485
"11",511210203003,0.789968652037617
"12",511210203004,1.23893805309734
"13",511210203005,0.904924940742691
"14",511210203006,0.536831483350151
"15",511210204001,1.13828238719068
"16",511210204002,1.34363240245593
"17",511210204003,0.801431127012522
"18",511210204004,0.941176470588235
"19",511210204005,1.17893217893218
"20",511210205001,0.842105263157895
"21",511210205002,0.886556318126766
"22",511210205003,0.776147072454812
"23",511210205004,0.860795708538221
"24",511210206001,0.98297213622291
"25",511210206002,0.672881355932203
"26",511210206003,0.995452666391071
"27",511210207001,0.979658258746949
"28",511210207002,0.946619217081851
"29",511210207003,0.461538461538461
"30",511210207004,0.824324324324324
"31",511210208001,1.23098859315589
"32",511210208002,0.93948193750726
"33",511210208003,0.824877250409165
"34",511210208004,0.930400288496213
"35",511210209001,0.952234797621332
"36",511210209002,0.774649879756684
"37",511210209003,0.777013354917037
"38",511210210001,1.03366287072957
"39",511210210002,0.717639457247469
"40",511210210003,0.896425038858273
"41",511210211001,0.873551637279597
"42",511210211002,0.758812840702604
"43",511210211003,0.972406261376046
"44",511210211004,0.826746268656716
"45",511210212001,0.960295116978934
"46",511210212002,1.14294487947183
"47",511210212003,0.847815875998121
"48",511210212004,0.943883984867592
"49",511210213001,0.969513349744366
"50",511210213002,0.604026845637584
"51",511210214001,0.966318234610917
"52",511210214002,0.926594464500602
"53",511210214003,1.13986585964338
"54",511210214004,1.45173745173745
"55",511210215001,1.16940948693127
"56",511210215002,0.985392351170814
"57",511210215003,1.01831885271642
"58",511210215004,1.17037804246504
"59",511552101001,1.10574412532637
"60",511552101002,0.992535625424112
"61",511552101003,1.0928626247122
"62",511552101004,1.02687673772011
"63",511552101005,0.973345236576967
"64",511552102011,1.32051634166438
"65",511552102012,1.06925095901474
"66",511552102013,1.11121281464531
"67",511552102021,1.04845814977974
"68",511552102022,1.34784862623121
"69",511552102023,1.13485430313982
"70",511552103001,1.13769751693002
"71",511552103002,1.24220623501199
"72",511552103003,0.728060671722644
"73",511552103004,0.731587561374795
"74",511552103005,0.816074188562596
"75",511552104001,1.07465525439848
"76",511552104002,1.3515687851971
"77",511552104003,1.09125475285171
"78",511552104004,1.00869565217391
"79",511552104005,0.887818306951136
"80",511552105001,1.15617715617716
"81",511552105002,1.35171637591446
"82",511552105003,0.736507936507937
"83",511552106001,1.01075970003261
"84",511552106002,1.14018691588785
"85",511552106003,1.00368709516692
"86",511552107001,1.0228184206887
"87",511552107002,1.29013079667063
"88",511552107003,1.32596685082873
"89",511559802001,0
"90",517500101011,1.5693215339233
"91",517500101012,1.32002661343979
"92",517500101013,0.6801872074883
"93",517500101021,1.57284299858557
"94",517500101022,1.68624014022787
"95",517500101023,1.00700233411137
"96",517500102001,1.20556107249255
"97",517500102002,0.890425919184565
"98",517500102003,1.16910513780197
"99",517500102004,0.725013906916373
"100",517500102005,0.95041630421275
