placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
zzy-223@63r-ss3-snq,sg:ef96d5ca7d6243ccbd66d05fa96a5f8d,Allergy and Asthma Care Center,224D Cornwall St NW Ste 106,Leesburg,621111,39.119415000000004,-77.569046,20176
zzw-225@63f-ybv-45f,sg:402d29805d2a43d8801afc184db3f7a8,Off The Wall Custom Picture Framing,3225 N Franklin St,Christiansburg,442299,37.173644,-80.418622,24073
zzw-222@63f-tx4-y35,sg:b71525ccb31046acaa971a614dfa8b99,Early Learning Center Nrcc,5251 College Dr,Dublin,624410,37.104068,-80.695961,24084
225-222@63f-ybt-zmk,sg:c9ddbde38a3647a99f6c51f4cdc536ae,Allergy & Asthma Associates of SW Virginia,2955 Market St Ste B1,Christiansburg,621111,37.169877,-80.419496,24073
222-223@63f-ybq-nbk,sg:e0506ecb417c4dec9cb16d4554ce886a,NRV Pilates Massage,432 N Main St,Blacksburg,713940,37.232154,-80.416172,24060
223-222@63r-sry-cwk,sg:5597636f115c41a380c25a7530bd7ce1,Parker John L DDS,217 Browns Meadow Ct NE,Leesburg,621210,39.114722,-77.556786,20176
222-222@63r-srz-f2k,sg:6d75c3f8b8764c34806f9990246348d2,Jockey,241 Fort Evans Rd NE Ste 713,Leesburg,448140,39.105621,-77.538476,20176
222-223@63f-ybv-3nq,sg:a25c8f97a1384dd49cc534c38a0fd1d5,Lefty Shears Family Hair Salon,55 Merrimac Rd Ste B,Christiansburg,812112,37.176553000000006,-80.418299,24073
zzw-223@63r-st8-249,sg:11cb12b744f64612944c1c7d9f766c43,The Cottage,42410 Stumptown Rd,Leesburg,453310,39.216025,-77.534786,20176
22d-222@63r-syc-qj9,sg:b8572b2dedbd44c9be64498a51130b8d,Premier Health and Holistic Medicine,19465 Deerfield Ave Ste 106,Lansdowne,621399,39.078221,-77.47847800000001,20176
227-222@63r-t8j-5fz,sg:3d6021e0228245188ecd6d25087cdb46,Dunn From Scratch,13493 Arcadian Dr,Leesburg,311811,39.242274,-77.50714,20176
zzw-225@63r-syb-zzz,sg:3d9352e8582f471db74680e41d4354b2,Dental Innovations of Virginia,19490 Sandridge Way Ste 160,Lansdowne,621210,39.076854,-77.48184599999999,20176
222-222@63f-s3q-yy9,sg:46f233a0240d440dbc077128134d6f8a,Tru by Hilton Radford,2300 Tyler Rd,Christiansburg,721110,37.102140000000006,-80.516047,24073
zzw-225@63r-srz-rzf,sg:71edd39db7224acc80a50475ed2dd9db,Claire's,241 Fort Evans Rd NE,Leesburg,448190,39.105903000000005,-77.538877,20176
zzy-222@63f-yby-kpv,sg:a032b92a2bff4d3395beb3cd02d73b5e,Belmont Community Cemetery,Belmont Community Cemetery,Christiansburg,812220,37.165293,-80.458203,24073
zzw-222@63f-ybq-h89,sg:c8400fc6638046b4baf7442ab23e42ae,Blacksburg Acupuncture,508 S Main St Ste B,Blacksburg,621399,37.225797,-80.410591,24060
