"cbg_lon","cbg_lat","POI_lon","POI_lat","Distance"
-80.3355647241491,37.2867746647256,-80.412078,37.187565,19.695
-80.515236670511,37.0472249543106,-80.412078,37.187565,21.2456
-80.3838843581547,37.1998723788212,-80.412078,37.187565,5.1674
-80.3922175700098,37.1282271997738,-80.412078,37.187565,11.2728
-80.2766013649233,37.2228378355445,-80.412078,37.187565,16.5374
-80.4674991189843,37.1679253150927,-80.412078,37.187565,7.5243
-80.5155951820541,37.165731378536,-80.412078,37.187565,12.4038
-80.4173129291314,37.2508907697237,-80.412078,37.187565,11.5042
-80.4230522771977,37.1949907774553,-80.412078,37.187565,2.6866
-80.3559510485379,37.1195735878574,-80.412078,37.187565,11.4504
-80.401412518267,37.2505859024978,-80.412078,37.187565,11.9786
-80.3756109112971,37.1632548804573,-80.412078,37.187565,7.8116
-80.4377904808155,37.151479232381,-80.412078,37.187565,6.3909
-80.3308477595896,37.1342392377725,-80.412078,37.187565,14.5528
-80.4574066136827,37.2097752851342,-80.412078,37.187565,10.1201
-80.4448135792378,37.118152929051,-80.412078,37.187565,11.7658
-80.6238523159261,37.072706551083,-80.412078,37.187565,33.6567
-80.4349699868985,37.1353908799497,-80.412078,37.187565,10.2195
-80.6832781364396,37.1139501597423,-80.412078,37.187565,29.2298
-80.3832231374717,37.2301024616881,-80.412078,37.187565,8.1993
-80.5669989018417,37.1197972515933,-80.412078,37.187565,22.6758
-80.4242339167959,37.153706162723,-80.412078,37.187565,5.9582
-80.5001036653361,37.1189082856858,-80.412078,37.187565,16.907
-80.4112567620754,37.122214165444,-80.412078,37.187565,8.9798
-80.3355647241491,37.2867746647256,-80.505749,37.091805,36.9078
-80.3645492690478,37.0633966245455,-80.412893,37.186209,19.2637
-80.4674991189843,37.1679253150927,-80.412893,37.186209,7.5343
-80.5001036653361,37.1189082856858,-80.412893,37.186209,16.9171
-80.3987463322782,37.1433057723703,-80.41484,37.128413,3.0272
-80.411526759471,37.2088825184289,-80.41484,37.128413,10.295
-80.5001036653361,37.1189082856858,-80.41484,37.128413,9.1439
-80.3559510485379,37.1195735878574,-80.41484,37.128413,7.0537
-80.4448135792378,37.118152929051,-80.412966,37.22792,16.3542
-80.4448135792378,37.118152929051,-80.443613,37.225434,18.2217
-80.4578973784107,37.2345629223309,-80.408175,37.223674,5.7062
-80.5669989018417,37.1197972515933,-80.57827,37.13101,2.2365
-80.6832781364396,37.1139501597423,-80.57827,37.13101,12.8824
-80.571014433521,37.1065725449696,-80.57827,37.13101,3.9518
-80.5001036653361,37.1189082856858,-80.57827,37.13101,9.1348
-80.3987463322782,37.1433057723703,-80.57827,37.13101,18.8551
-80.3760695567766,37.2659953569513,-80.398166,37.207134,10.6866
-80.455075106728,37.2577588997268,-80.411365,37.228506,7.0382
-80.4065037385558,37.2332991461168,-80.411365,37.228506,0.7726
-80.588659092602,37.1420349680632,-80.411813,37.131661,18.445
-80.8147224281089,37.0113711880362,-80.411813,37.131661,47.3476
-80.4448135792378,37.118152929051,-80.400804,37.195878,12.825
-80.3355647241491,37.2867746647256,-80.400804,37.195878,16.743
-80.441983608909,37.0574211506616,-80.409154,37.186558,17.3587
-80.3832231374717,37.2301024616881,-80.413102,37.24831,9.3454
-80.3838843581547,37.1998723788212,-80.413102,37.24831,7.0726
-80.571014433521,37.1065725449696,-80.414278,37.148326,22.0495
-80.515236670511,37.0472249543106,-80.414278,37.148326,15.8312
-80.4242339167959,37.153706162723,-80.414278,37.148326,1.5105
-80.4798034987174,37.1978533939219,-80.413604,37.22579,10.502
-80.400634192601,37.2208104225205,-80.413604,37.22579,1.704
-80.3559510485379,37.1195735878574,-80.413604,37.22579,16.1333
-80.5857433181278,37.1180677036741,-80.412893,37.186183,23.81
-80.6232117753577,37.106602293345,-80.413835,37.147033,30.5129
-80.2524041834074,37.1182730391629,-80.411883,37.129223,24.1452
-80.2524041834074,37.1182730391629,-80.444252,37.224758,35.7639
-80.2143472882027,37.1892808257682,-80.452632,37.21888,38.8376
-80.6882720518082,37.0659124619487,-80.452632,37.21888,32.4239
-80.4173129291314,37.2508907697237,-80.451688,37.219012,6.6048
-80.4578973784107,37.2345629223309,-80.451688,37.219012,4.9419
-80.7479027179401,37.0583454300202,-80.451688,37.219012,36.4174
-80.6832781364396,37.1139501597423,-80.451688,37.219012,26.9882
-80.6618730464378,37.1985867034914,-80.408399,37.187232,43.8603
-80.569406391956,37.1307413098116,-80.505721,37.091903,10.1898
-80.5001036653361,37.1189082856858,-80.409077,37.186596,16.6795
-80.4057529453405,37.1034800438987,-80.409594,37.12811,6.5437
-80.5001036653361,37.1189082856858,-80.409594,37.12811,9.7363
-80.4448135792378,37.118152929051,-80.409594,37.12811,4.1754
-80.4448135792378,37.118152929051,-80.398051,37.206293,13.6168
-80.5425001669868,37.2360813132422,-80.398051,37.206293,19.2294
-80.3760695567766,37.2659953569513,-80.398051,37.206293,10.5961
-80.7655175774074,37.0502467887587,-80.57064,37.129741,25.4499
-80.6519380294966,37.1456430959619,-80.57064,37.129741,13.9803
-80.8475240804368,37.0479476470839,-80.57064,37.129741,32.0834
-80.4084637473875,37.1366504048481,-80.25718,37.168167,15.9157
-80.4377904808155,37.151479232381,-80.422162,37.197168,8.9108
-80.6519380294966,37.1456430959619,-80.570627,37.129814,13.9147
-80.4448135792378,37.118152929051,-80.41469,37.14466,5.9414
-80.3645492690478,37.0633966245455,-80.413419,37.146918,13.8982
-80.6519380294966,37.1456430959619,-80.409141,37.188036,30.1141
-80.6882720518082,37.0659124619487,-80.409141,37.188036,37.6127
-80.4349699868985,37.1353908799497,-80.418969,37.169917,7.9187
-80.5445919841749,37.1227248377514,-80.418969,37.169917,17.4065
-80.4798034987174,37.1978533939219,-80.418969,37.169917,15.3503
-80.515236670511,37.0472249543106,-80.505653,37.089172,5.8715
-80.5001036653361,37.1189082856858,-80.505653,37.089172,4.897
-80.571014433521,37.1065725449696,-80.505653,37.089172,10.6304
-80.3308477595896,37.1342392377725,-80.505653,37.089172,20.4306
