"","GEOID","change_apr_2020_hf"
"1",511210201001,0.836167565325591
"2",511210201002,0.977119784656797
"3",511210202011,0.777021220334501
"4",511210202012,0.494420600858369
"5",511210202013,0.89865470852018
"6",511210202014,0
"7",511210202015,0.890925756186984
"8",511210202021,0.894799956393764
"9",511210203001,0.80583174488692
"10",511210203002,0.772426907535061
"11",511210203003,0.676300578034682
"12",511210203004,1
"13",511210203005,0.806161829090319
"14",511210203006,0.38655462184874
"15",511210204001,1.03138807069219
"16",511210204002,1.12479262672811
"17",511210204003,0.602195504443283
"18",511210204004,0.515021459227468
"19",511210204005,0.81135225375626
"20",511210205001,0.552253116011505
"21",511210205002,0.853238562418661
"22",511210205003,0.767701863354037
"23",511210205004,0.791683102539083
"24",511210206001,0.866039277392804
"25",511210206002,0.578115501519757
"26",511210206003,0.842707982485685
"27",511210207001,0.754756871035941
"28",511210207002,0.623181133968891
"29",511210207003,0.369230769230769
"30",511210207004,0.74119117034569
"31",511210208001,0.979321649224562
"32",511210208002,0.916836892148074
"33",511210208003,0.83974351568367
"34",511210208004,0.903628296659985
"35",511210209001,0.895382457521808
"36",511210209002,0.859104282445243
"37",511210209003,0.820897503983005
"38",511210210001,0.97826564930253
"39",511210210002,0.819379152259217
"40",511210210003,0.866438722085693
"41",511210211001,0.835728754702421
"42",511210211002,0.813453313506967
"43",511210211003,0.946226992159262
"44",511210211004,0.789288191249947
"45",511210212001,0.782507192378437
"46",511210212002,1.01560904990813
"47",511210212003,0.731424982053123
"48",511210212004,0.742774348938732
"49",511210213001,1.01017279143344
"50",511210213002,0.741810737033667
"51",511210214001,0.938816449348044
"52",511210214002,0.822317917992885
"53",511210214003,0.950426808738191
"54",511210214004,1.24353876739563
"55",511210215001,1.13350434723389
"56",511210215002,0.897554193262971
"57",511210215003,0.941806742046307
"58",511210215004,1.06699785177229
"59",511552101001,0.928132514026182
"60",511552101002,0.834331451440006
"61",511552101003,0.986539296569691
"62",511552101004,0.972406914893617
"63",511552101005,0.953162118780096
"64",511552102011,1.1393995811031
"65",511552102012,0.957066462948816
"66",511552102013,0.945603576751118
"67",511552102021,1.06776918928636
"68",511552102022,1.06745697436515
"69",511552102023,0.980122754659609
"70",511552103001,1.06090373280943
"71",511552103002,1.12962962962963
"72",511552103003,0.912006012400576
"73",511552103004,0.707931638913234
"74",511552103005,0.86468200270636
"75",511552104001,0.771943887775551
"76",511552104002,1.12083024462565
"77",511552104003,1.03356890459364
"78",511552104004,1.07372654155496
"79",511552104005,0.878842676311031
"80",511552105001,1.03512993262753
"81",511552105002,1.20523545107089
"82",511552105003,0.914835164835165
"83",511552106001,1.02048835251193
"84",511552106002,0.875720046082949
"85",511552106003,0.979258832228391
"86",511552107001,0.907987654966783
"87",511552107002,1.11171293161814
"88",511552107003,0.864345738295318
"89",511559802001,0
"90",517500101011,1.07863197895352
"91",517500101012,1.16227288920556
"92",517500101013,0.626851409460105
"93",517500101021,1.15159944367177
"94",517500101022,1.22358722358722
"95",517500101023,0.901219992129083
"96",517500102001,0.946905626965469
"97",517500102002,1.07323045647755
"98",517500102003,0.972320267508824
"99",517500102004,0.677171150240951
"100",517500102005,0.913555992141454
