"","ct2021","cbg2019","Geographic.Area.Name","Total.population","Median.age..years.","Sex.ratio..males.per.100.females.","X65_and_over","Population.25.years.and.over","Bachelor.s.degree.or.higher","Hispanic.or.Latino","Income.below..25.000","Total.households","area","pop_density","White","any_black","prop_urban"
"70","51121021202","511210212002","Census Tract 212.02, Montgomery County, Virginia",2681,37.3,114.8,10.77955987,1948,32,0,12,1003,35899641,74.68041254,87.24356583,7.198806416,0.137112019
"71","51121021202","511210212001","Census Tract 212.02, Montgomery County, Virginia",2681,37.3,114.8,10.77955987,1948,32,0,12,1003,35899641,74.68041254,87.24356583,7.198806416,0.137112019
"72","51121021300","511210213002","Census Tract 213, Montgomery County, Virginia",3791,48.6,90,20.20575046,2828,44.2,4.299657083,9.9,1466,238368974,15.90391541,92.79873384,2.611448167,0.00041659
"73","51121021300","511210213001","Census Tract 213, Montgomery County, Virginia",3791,48.6,90,20.20575046,2828,44.2,4.299657083,9.9,1466,238368974,15.90391541,92.79873384,2.611448167,0.00041659
"74","51121021400","511210214001","Census Tract 214, Montgomery County, Virginia",5422,40.4,111.7,13.26078938,3769,15.6,5.97565474,13.8,1855,164646680,32.93112257,92.40132792,2.213205459,0.015231043
"75","51121021400","511210214004","Census Tract 214, Montgomery County, Virginia",5422,40.4,111.7,13.26078938,3769,15.6,5.97565474,13.8,1855,164646680,32.93112257,92.40132792,2.213205459,0.015231043
"76","51121021400","511210214003","Census Tract 214, Montgomery County, Virginia",5422,40.4,111.7,13.26078938,3769,15.6,5.97565474,13.8,1855,164646680,32.93112257,92.40132792,2.213205459,0.015231043
"77","51121021400","511210214002","Census Tract 214, Montgomery County, Virginia",5422,40.4,111.7,13.26078938,3769,15.6,5.97565474,13.8,1855,164646680,32.93112257,92.40132792,2.213205459,0.015231043
"78","51121021501","511210215002","Census Tract 215.01, Montgomery County, Virginia",4260,40.2,104.9,14.06103286,3047,19.3,1.103286385,16.3,1758,122178234,34.86709425,95.18779343,1.666666667,0.039293268
"79","51121021501","511210215003","Census Tract 215.01, Montgomery County, Virginia",4260,40.2,104.9,14.06103286,3047,19.3,1.103286385,16.3,1758,122178234,34.86709425,95.18779343,1.666666667,0.039293268
"80","51121021502","511210215004","Census Tract 215.02, Montgomery County, Virginia",4013,50.9,92.7,15.8484924,3226,27,0.249190132,13.8,1589,126027728,31.84219904,100,0,0
"81","51121021502","511210215001","Census Tract 215.02, Montgomery County, Virginia",4013,50.9,92.7,15.8484924,3226,27,0.249190132,13.8,1589,126027728,31.84219904,100,0,0
"82","51155210101","511552101005","Census Tract 2101.01, Pulaski County, Virginia",3963,52.5,92.1,29.0436538,3026,36.9,3.835478173,29.5,2045,31061635,127.5850418,92.4552107,6.409285895,0.184247441
"83","51155210101","511552101004","Census Tract 2101.01, Pulaski County, Virginia",3963,52.5,92.1,29.0436538,3026,36.9,3.835478173,29.5,2045,31061635,127.5850418,92.4552107,6.409285895,0.184247441
"84","51155210101","511552101003","Census Tract 2101.01, Pulaski County, Virginia",3963,52.5,92.1,29.0436538,3026,36.9,3.835478173,29.5,2045,31061635,127.5850418,92.4552107,6.409285895,0.184247441
"85","51155210102","511552101002","Census Tract 2101.02, Pulaski County, Virginia",2891,53,94.8,27.15323418,2208,25.4,3.943272224,22.6,1191,92159453,31.36954383,94.11968177,2.421307506,0.011315869
"86","51155210102","511552101001","Census Tract 2101.02, Pulaski County, Virginia",2891,53,94.8,27.15323418,2208,25.4,3.943272224,22.6,1191,92159453,31.36954383,94.11968177,2.421307506,0.011315869
"87","51155210201","511552102013","Census Tract 2102.01, Pulaski County, Virginia",4117,42.4,94.6,19.94170513,3056,11.7,3.473402963,34.2,1762,9002547,457.3150243,88.02526111,8.744231236,0.59893775
"88","51155210201","511552102012","Census Tract 2102.01, Pulaski County, Virginia",4117,42.4,94.6,19.94170513,3056,11.7,3.473402963,34.2,1762,9002547,457.3150243,88.02526111,8.744231236,0.59893775
"89","51155210201","511552102011","Census Tract 2102.01, Pulaski County, Virginia",4117,42.4,94.6,19.94170513,3056,11.7,3.473402963,34.2,1762,9002547,457.3150243,88.02526111,8.744231236,0.59893775
"90","51155210202","511552102022","Census Tract 2102.02, Pulaski County, Virginia",3677,54.4,85.8,33.07043786,2971,27.9,0.326353005,21.9,1612,139773863,26.30677811,94.88713625,2.610824041,0.055983159
"91","51155210202","511552102021","Census Tract 2102.02, Pulaski County, Virginia",3677,54.4,85.8,33.07043786,2971,27.9,0.326353005,21.9,1612,139773863,26.30677811,94.88713625,2.610824041,0.055983159
"92","51155210202","511552102023","Census Tract 2102.02, Pulaski County, Virginia",3677,54.4,85.8,33.07043786,2971,27.9,0.326353005,21.9,1612,139773863,26.30677811,94.88713625,2.610824041,0.055983159
"93","51155210300","511552103004","Census Tract 2103, Pulaski County, Virginia",3883,36.9,106.3,20.98892609,2707,10.9,3.579706413,20.9,1739,129679606,29.94302743,89.85320628,5.150656709,0.033734059
"94","51155210300","511552103001","Census Tract 2103, Pulaski County, Virginia",3883,36.9,106.3,20.98892609,2707,10.9,3.579706413,20.9,1739,129679606,29.94302743,89.85320628,5.150656709,0.033734059
"95","51155210300","511552103005","Census Tract 2103, Pulaski County, Virginia",3883,36.9,106.3,20.98892609,2707,10.9,3.579706413,20.9,1739,129679606,29.94302743,89.85320628,5.150656709,0.033734059
